"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",121.272575,24.429981,"2429225922",50,47,297,3861,130,-30,160,90,0,100,-3,2648,334,109,36,996,345,900,454
"2",121.272041,24.139181,"2429226371",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"3",121.284342,24.142992,"2423101500",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"4",121.27,24.14,"1085966244",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"5",121.27,24.14,"1086042866",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"6",121.2,24.47,"1085980402",91,46,276,4156,174,7,168,128,36,145,34,2151,290,92,34,803,298,702,407
"7",121.296111,24.434444,"622287121",73,47,288,4005,154,-10,164,114,20,125,18,2715,350,119,33,1017,375,871,484
"8",121.260833,24.429444,"622287122",52,47,295,3879,132,-28,160,93,2,103,-1,2583,329,107,35,976,339,867,450
"9",120.91,23.24,"1085979790",65,52,354,3198,133,-14,147,105,36,105,21,3068,543,71,66,1503,227,1503,255
"10",120.91,23.24,"1085997828",65,52,354,3198,133,-14,147,105,36,105,21,3068,543,71,66,1503,227,1503,255
"11",120.91,23.24,"1085998338",65,52,354,3198,133,-14,147,105,36,105,21,3068,543,71,66,1503,227,1503,255
"12",121.27,24.04,"1085996302",100,53,309,3967,183,12,170,136,45,150,45,2162,380,47,64,1031,159,983,220
"13",121.729167,24.313611,"891596190",195,40,234,4467,279,106,173,216,178,252,132,3313,554,159,47,1616,493,684,623
"14",120.994444,23.503611,"891596112",107,55,336,3620,182,20,163,144,73,152,56,2507,385,68,56,1087,214,1072,248
"15",121.284722,24.161667,"891597320",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"16",121.387222,24.19,"891597327",124,50,287,4179,209,35,174,166,66,177,66,2722,414,101,41,1141,327,859,415
"17",120.960556,23.468333,"891600724",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"18",120.959167,23.270556,"891607662",75,52,349,3255,143,-5,149,115,45,115,30,2847,551,56,76,1553,180,1553,200
"19",121.436389,24.365556,"891590408",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"20",121.299722,24.218889,"891620179",96,51,298,4055,180,10,170,138,41,148,40,2015,284,75,40,810,249,662,323
"21",121.443333,24.361667,"891626825",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"22",121.250833,24.463056,"891631198",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"23",121.224444,24.378611,"891648938",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"24",121.443333,24.361667,"891652386",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"25",121.049722,23.493889,"891648896",56,54,353,3325,128,-25,152,98,26,98,10,2838,501,66,67,1392,210,1392,234
"26",121.2775,24.055833,"891652360",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"27",121.2775,24.055833,"891652371",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"28",121.270833,24.0625,"1821864133",82,52,315,3870,163,-3,167,117,29,131,29,2290,364,67,53,978,229,939,297
"29",121.283333,24.133333,"1821886981",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"30",120.901389,23.478611,"891652355",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"31",120.941667,23.465278,"891652374",57,55,357,3335,128,-26,154,98,26,98,11,3050,578,60,74,1606,186,1606,222
