"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",121.23,24.383333,"2350338357",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"2",120.954345,23.467383,"1880602697",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"3",120.954081,23.463634,"1883472255",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"4",120.955109,23.469253,"1883474709",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"5",120.954384,23.467402,"1883485355",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"6",121.4384,24.38068,"1898786190",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"7",120.900585,23.475772,"1901051993",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"8",121.23,24.39,"1086043542",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"9",121.29,24.16,"1086046172",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"10",121.28,24.14,"1085965346",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"11",120.95,23.45,"1085974749",43,55,362,3254,114,-37,151,84,14,84,-2,3336,599,69,70,1673,215,1673,337
"12",120.93,23.44,"1085975476",67,55,353,3371,139,-16,155,109,36,109,20,2972,603,49,83,1687,151,1687,181
"13",121.03,24.28,"1085966429",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"14",120.93,23.26,"1085986408",117,52,335,3474,188,32,156,160,85,160,68,2427,413,63,62,1140,199,1140,223
"15",121.43,24.39,"1085982481",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"16",121.36,24.37,"1085983431",100,48,283,4136,185,15,170,121,45,154,44,2535,340,127,32,962,399,716,486
"17",120.9,23.48,"1085988074",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"18",121.27,24.39,"1085975900",66,48,294,3953,148,-16,164,108,14,118,12,2732,354,103,40,1034,329,967,439
"19",121.36,24.1,"1085990064",64,51,315,3755,144,-18,161,103,14,112,13,2684,379,86,46,1108,288,976,369
"20",121.27,24.15,"1085993393",72,52,312,3870,154,-12,166,112,20,122,19,2448,352,75,48,985,251,920,340
"21",121.27,24.14,"1096651363",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"22",121.32,24.1,"1086017021",68,51,315,3798,149,-15,163,107,17,117,16,2362,337,72,49,966,240,902,314
"23",0,0,"1830538996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0,0,"1830539216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0,0,"1830539276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0,0,"1830539264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",121.250833,24.463056,"891629023",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"28",121.307222,24.175278,"891618178",88,51,303,3973,170,2,168,129,34,139,33,2382,341,73,46,996,245,865,330
"29",121.428889,24.342222,"891618662",62,48,297,3850,142,-18,160,102,11,112,9,2360,307,94,41,912,294,832,352
"30",120.960556,23.468333,"891633591",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"31",121.413333,24.378611,"891636481",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"32",120.960556,23.468333,"891615657",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"33",120.919722,23.460833,"891636533",111,55,337,3623,186,23,163,156,77,156,60,2856,576,51,81,1592,157,1592,189
"34",121.285278,24.161667,"891636516",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"35",121.266667,24.1375,"891651015",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"36",121.114444,24.014444,"891695615",177,54,291,4450,266,79,187,217,136,233,114,1945,355,43,65,957,142,892,153
"37",120.806111,23.516667,"891695606",128,56,331,3772,204,36,168,174,92,174,74,3453,668,58,78,1853,180,1853,233
"38",120.873333,23.463056,"891695609",88,55,346,3514,162,2,160,132,56,132,39,3523,661,69,75,1855,208,1855,259
"39",121.251944,24.039444,"891587434",110,53,306,4034,194,21,172,147,54,161,54,2065,377,47,65,995,161,954,219
"40",120.960556,23.468333,"891695587",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"41",121.443333,24.361667,"891654746",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"42",121.027778,24.293333,"891695562",92,49,291,4093,174,5,169,128,57,145,35,2268,422,57,64,1121,177,1059,312
"43",121.027778,24.293333,"891695575",92,49,291,4093,174,5,169,128,57,145,35,2268,422,57,64,1121,177,1059,312
"44",121.027778,24.293333,"891695581",92,49,291,4093,174,5,169,128,57,145,35,2268,422,57,64,1121,177,1059,312
